run_id,version,time_limit_sec,drop_penalty,frozen_dry_penalty,vehicle_fixed_cost,wait_cost_coeff,dispatch_rate,total_km,total_time_min,travel_min,wait_min,wait_rate,used_vehicles,dropped,objective
24,before,10,10000000,10000000,240000,200,0.9,3085.712499999999,2669,2669,0,0.0,5,5,54829073
24,after,10,10000000,10000000,556058,0,0.9,3066.2700000000004,3066,2652,414,0.1350293542074364,6,5,56402582
25,before,10,10000000,10000000,240000,200,0.96,2710.376000000001,2504,2307,197,0.0786741214057508,6,2,24672138
25,after,10,10000000,10000000,556058,0,0.96,2670.4017000000013,3163,2288,875,0.2766361049636421,6,2,26006716
26,before,10,10000000,10000000,240000,200,0.98,2645.5918,2401,2242,159,0.06622240733027905,5,1,14325754
26,after,10,10000000,10000000,556058,0,0.98,2769.0126,2477,2325,152,0.06136455389584174,5,1,15549264
27,before,10,10000000,10000000,240000,200,0.92,3570.9337999999993,2946,2946,0,0.0,6,4,45602494
27,after,10,10000000,10000000,556058,0,0.92,3482.8136999999992,3303,2874,429,0.1298819255222525,6,4,46819124
28,before,10,10000000,10000000,240000,200,0.94,1895.1096,1676,1609,67,0.03997613365155131,4,3,33199271
28,after,10,10000000,10000000,556058,0,0.94,1858.7205999999996,1794,1614,180,0.10033444816053512,4,3,34082916
29,before,10,10000000,10000000,240000,200,1.0,2533.9024999999997,2194,2194,0,0.0,5,0,4172660
29,after,10,10000000,10000000,556058,0,1.0,2540.8577,2424,2194,230,0.09488448844884488,5,0,5321107
30,before,10,10000000,10000000,240000,200,0.96,1668.2920000000004,1615,1524,91,0.056346749226006194,4,2,22965054
30,after,10,10000000,10000000,556058,0,0.96,1593.2714999999998,1898,1452,446,0.23498419388830347,4,2,23817465
31,before,10,10000000,10000000,240000,200,1.0,2141.4712,2007,1842,165,0.08221225710014948,5,0,3750235
31,after,10,10000000,10000000,556058,0,1.0,1816.1999000000012,1942,1550,392,0.20185375901132852,4,0,4040398
32,before,10,10000000,10000000,240000,200,0.96,2457.9583999999995,2161,2131,30,0.013882461823229986,5,2,24104723
32,after,10,10000000,10000000,556058,0,0.96,2335.6187999999993,2356,1991,365,0.15492359932088284,4,2,24559813
33,before,10,10000000,10000000,240000,200,0.94,1740.8853000000001,1610,1551,59,0.03664596273291926,4,3,33023046
33,after,10,10000000,10000000,556058,0,0.94,1720.0826000000002,1725,1522,203,0.11768115942028985,4,3,33944275
34,before,10,10000000,10000000,240000,200,0.96,2501.2638,2189,2141,48,0.0219278209227958,5,2,24157427
34,after,10,10000000,10000000,556058,0,0.96,2353.9948000000018,2492,2032,460,0.18459069020866772,5,2,25134245
35,before,10,10000000,10000000,240000,200,1.0,1989.9000999999992,1764,1764,0,0.0,5,0,3551659
35,after,10,10000000,10000000,556058,0,1.0,1920.196999999999,1949,1711,238,0.12211390456644433,5,0,4700447
36,before,10,10000000,10000000,240000,200,0.98,2587.824899999999,2510,2208,302,0.12031872509960159,6,1,14570787
36,after,10,10000000,10000000,556058,0,0.98,2602.8448000000003,2820,2231,589,0.20886524822695035,6,1,15939153
37,before,10,10000000,10000000,240000,200,0.96,2182.8211,2026,1828,198,0.09772951628825272,4,2,23554181
37,after,10,10000000,10000000,556058,0,0.96,2249.8482,2383,1887,496,0.20814099874108266,5,2,25030098
38,before,10,10000000,10000000,240000,200,0.94,2038.8500000000001,1778,1778,0,0.0,4,3,33356610
38,after,10,10000000,10000000,556058,0,0.94,2037.5173,2217,1804,413,0.18628777627424448,5,3,34817764
39,before,10,10000000,10000000,240000,200,0.98,1699.5208000000005,1528,1528,0,0.0,4,1,12965075
39,after,10,10000000,10000000,556058,0,0.98,1686.672,1821,1518,303,0.16639209225700163,4,1,13910865
40,before,10,10000000,10000000,240000,200,0.94,1805.2736000000007,1644,1595,49,0.029805352798053526,4,3,33095037
40,after,10,10000000,10000000,556058,0,0.94,1833.6788000000006,1960,1621,339,0.17295918367346938,4,3,34057875
41,before,10,10000000,10000000,240000,200,0.96,2831.9692000000005,2489,2382,107,0.042989152269987944,6,2,24780529
41,after,10,10000000,10000000,556058,0,0.96,2860.6155999999983,3000,2405,595,0.19833333333333333,6,2,26196921
42,before,10,10000000,10000000,240000,200,0.92,2330.080100000001,2139,2055,84,0.03927068723702665,6,4,44207844
42,after,10,10000000,10000000,556058,0,0.92,2367.1484999999993,2141,2084,57,0.026623073330219522,5,4,45147399
43,before,10,10000000,10000000,240000,200,0.92,3261.5045999999993,2783,2762,21,0.007545813869924541,5,4,45020063
43,after,10,10000000,10000000,556058,0,0.92,3323.557099999999,3033,2811,222,0.07319485657764589,5,4,46103805
44,before,10,10000000,10000000,240000,200,0.96,2531.454,2295,2160,135,0.058823529411764705,5,2,24219013
44,after,10,10000000,10000000,556058,0,0.96,2635.0468,2702,2246,456,0.1687638786084382,5,2,25415294
45,before,10,10000000,10000000,240000,200,0.96,2696.225899999999,2365,2321,44,0.018604651162790697,5,2,24384589
45,after,10,10000000,10000000,556058,0,0.96,2628.408099999999,2611,2260,351,0.1344312523937189,5,2,25408661
46,before,10,10000000,10000000,240000,200,0.96,1989.4628,1786,1763,23,0.012877939529675251,5,2,23568819
46,after,10,10000000,10000000,556058,0,0.96,1778.8840000000005,1707,1565,142,0.08318687756297598,3,2,23447020
47,before,10,10000000,10000000,240000,200,0.94,1668.7113000000002,1586,1501,85,0.053593947036569986,4,3,32964072
47,after,10,10000000,10000000,556058,0,0.94,1680.111,1845,1523,322,0.17452574525745257,4,3,33904308
48,before,10,10000000,10000000,240000,200,0.94,3056.610000000001,2606,2598,8,0.0030698388334612432,5,3,34777973
48,after,10,10000000,10000000,556058,0,0.94,3135.7882000000022,3246,2704,542,0.16697473813924832,6,3,36472095
49,before,10,10000000,10000000,240000,200,0.92,1127.1379000000002,1055,1029,26,0.024644549763033177,3,4,42060707
49,after,10,10000000,10000000,556058,0,0.92,1150.0548000000001,1327,1051,276,0.2079879427279578,4,4,43374247
